SP500,GOLD,IYR,port_er,port_std,sharpe
0.01,0.06,0.93,0.04489632260383348,0.18750998582268688,0.2394343021618503
0.01,0.07,0.92,0.04471412589017359,0.1856870206043529,0.240803723085454
0.01,0.08,0.91,0.0445319291765137,0.18387924931190794,0.24218028593849514
0.01,0.09,0.9,0.0443497324628538,0.18208712448438655,0.2435632535163499
0.01,0.1,0.89,0.04416753574919391,0.18031111265633756,0.244951822982617
0.01,0.11,0.88,0.04398533903553402,0.17855169464508783,0.246345122195367
0.01,0.12,0.87,0.04380314232187412,0.17680936582316897,0.2477422059512539
0.01,0.13,0.86,0.04362094560821424,0.17508463637293248,0.24914205216328103
0.01,0.14,0.85,0.04343874889455434,0.17337803152010073,0.25054355799118777
0.01,0.15,0.84,0.04325655218089444,0.1716900917427106,0.25194553594692787
0.01,0.16,0.83,0.04307435546723456,0.17002137295160274,0.25334671000154696
0.01,0.17,0.82,0.04289215875357466,0.16837244663830203,0.25474571172393584
0.01,0.18,0.81,0.04270996203991477,0.16674389998581665,0.2561410764864424
0.01,0.19,0.8,0.04252776532625488,0.1651363359375654,0.25753123977713627
0.01,0.2,0.79,0.04234556861259499,0.163550373219327,0.2589145336636318
0.01,0.21,0.78,0.0421633718989351,0.16198664630879345,0.2602891834587371
0.01,0.22,0.77,0.0419811751852752,0.1604458053470124,0.2616533046437597
0.01,0.23,0.76,0.04179897847161531,0.15892851598572522,0.26300490011100114
0.01,0.24,0.75,0.04161678175795542,0.1574354591643532,0.26434185779272246
0.01,0.25,0.74,0.04143458504429552,0.1559673308101693,0.26566194874955135
0.01,0.26,0.73,0.04125238833063563,0.15452484145502024,0.26696282579680597
0.01,0.27,0.72,0.04107019161697574,0.15310871576184604,0.2682420227523732
0.01,0.28,0.71,0.04088799490331584,0.15171969195419777,0.26949695439441973
0.01,0.29,0.7,0.04070579818965595,0.15035852114198195,0.27072491722113906
0.01,0.3,0.69,0.04052360147599606,0.14902596653678604,0.27192309110770363
0.01,0.31,0.68,0.04034140476233617,0.14772280255036796,0.27308854195736815
0.01,0.32,0.67,0.04015920804867627,0.14644981377024346,0.27421822544397156
0.01,0.33,0.66,0.03997701133501638,0.14520779380679008,0.2753089919416365
0.01,0.34,0.65,0.03979481462135649,0.1439975440069163,0.2763575927339783
0.01,0.35,0.64,0.0396126179076966,0.14281987203013669,0.27736068758931437
0.01,0.36,0.63,0.03943042119403671,0.1416755902838513,0.27831485377993964
0.01,0.37,0.62,0.03924822448037681,0.14056551421576724,0.279216596612246
0.01,0.38,0.61,0.03906602776671692,0.1394904604627166,0.280062361520117
0.01,0.39,0.6,0.038883831053057025,0.13845124485663035,0.280848547756448
0.01,0.4,0.59,0.038701634339397134,0.13744868029010973,0.28157152369677535
0.01,0.41,0.58,0.03851943762573724,0.13648357444589168,0.2822276437448384
