SP500,GOLD,IYR
1552.01,1377,71.04
1541.61,1391.25,71.04
1555.25,1404.35,71.86
1562.5,1426.25,71.96
1578.78,1413.35,72.38
1578.79,1431.3,72.61
1585.16,1467.85,72.52
1582.24,1463,72.19
1593.61,1476.65,72.75
1597.57,1477.1,73.46
1582.7,1457.6,72.96
1597.59,1467.1,73.24
1614.42,1470.7,73.3
1617.5,1469.5,73.59
1625.96,1452.6,74.02
1632.69,1472.8,74.2
1626.67,1458.2,73.82
1633.7,1448.2,73.84
1633.77,1430.55,73.95
1650.34,1426,74.34
1658.78,1392.9,75
1650.47,1386.3,74.76
1667.47,1359.2,75.23
1666.29,1394.15,75.19
1669.16,1376.3,75.54
1655.35,1369.4,73.67
1650.51,1391.2,72.64
1649.6,1386.05,72.36
1660.06,1380.85,71.64
1648.36,1392.95,70.21
1654.41,1413.75,69.54
1630.74,1386.9,68.69
1640.42,1411.6,68.86
1631.38,1399.9,68.06
1608.9,1403.3,67.33
1622.56,1413.65,68.59
1643.38,1384.47,68.55
1642.81,1386.9,67.95
1626.13,1379.6,66.91
1612.52,1388.4,65.93
1636.36,1386.05,67.94
1626.73,1390.7,68.11
1639.04,1384.85,68.2
1651.81,1368.4,68.31
1628.93,1351.3,66.26
1588.19,1278,63.67
1592.43,1297.25,64.42
1573.09,1281.9,64.01
1588.03,1277.35,65.19
1603.26,1226.35,65.55
1613.2,1200.75,66.72
1606.28,1234.25,66.43
1614.96,1253.3,66.08
1614.08,1242.5,66.85
1615.41,1252.3,66.56
1631.89,1223.8,65.86
1640.46,1237,66.12
1652.32,1249.95,66.96
1652.62,1264.25,66.96
1675.02,1285.3,68.81
1680.19,1284.9,68.36
1682.5,1282.6,68.61
1676.26,1292.6,68.5
1680.91,1276,68.86
1689.37,1285.1,69.29
1692.09,1296.35,69.22
1695.53,1335.9,69.42
1692.39,1348.1,69.39
1685.94,1321.3,68.04
1690.25,1333.65,67.96
1691.65,1333.9,68.14
1685.33,1327.6,67.6
1685.96,1327.3,67.52
1685.73,1323.1,66.59
1706.87,1308.95,66.22
1709.67,1312,65.93
1707.14,1303.95,65.89
1697.37,1281.9,65.66
1690.91,1287.75,65.39
1697.48,1312,65.45
1691.42,1314.5,66.07
1689.47,1336.4,65.53
1694.16,1321.3,64.63
1685.39,1335.2,64.49
1661.32,1366.05,63.27
1655.83,1376.4,61.81
1646.06,1365.98,60.97
1652.35,1371.17,62.4
1642.8,1366.35,62.27
1656.96,1375.85,62.62
1663.5,1396.85,63.35
1656.78,1404.9,63.11
1630.48,1416.65,62.92
1634.96,1418.5,62.62
1638.17,1408.25,62.72
1632.97,1396.4,62.24
1639.77,1412.65,61.72
1653.08,1391.45,62.16
1655.08,1367.85,61.63
1655.17,1391.61,62.76
1671.71,1387.05,64
1683.99,1364.45,63.92
1689.13,1366.75,64.36
1683.42,1321.05,63.94
1687.99,1326.72,64.09
1697.6,1314,64.72
1704.76,1309.65,64.67
1725.52,1365.15,66.93
1722.34,1365,66.67
1709.91,1325.38,65.51
1701.84,1322.15,65.1
1697.42,1323.2,64.07
1692.77,1333.6,64.29
1698.67,1323.7,64.68
1691.75,1336.2,64.44
1681.55,1327.55,63.79
1695,1286.6,64.76
1693.87,1315.25,64.8
1678.66,1317.3,63.8
1690.5,1311.35,63.57
1676.12,1321.79,63.85
1655.45,1318.8,63.12
1656.4,1307.2,63.1
1692.56,1286.24,64.61
1703.2,1273.11,65.23
1710.14,1273.4,65.21
1698.06,1280.8,65
1721.54,1281.6,66.18
1733.15,1319.7,67.2
1744.5,1316.24,67.07
1744.66,1315.75,66.72
1754.67,1340.65,67.43
1746.38,1332.35,67.57
1752.07,1347.15,67.51
1759.77,1352.13,68.18
1762.11,1352.2,67.71
1771.95,1344.3,67.14
1763.31,1342.8,66.65
1756.54,1323.8,66.17
1761.64,1315.35,66.59
